Wavenumber (cm^-1)    Wavelength (um)        Normalized SRF
11665    0.85726532361766    0.9369324
11670    0.856898029134533    0.9380196
11675    0.856531049250535    0.9391373
11680    0.856164383561644    0.9402852
11685    0.855798031664527    0.9414626
11690    0.855431993156544    0.9426678
11695    0.855066267635742    0.9438969
11700    0.854700854700855    0.9451462
11705    0.854335753951303    0.9464122
11710    0.85397096498719    0.9476915
11715    0.853606487409304    0.9489807
11720    0.853242320819113    0.9502764
11725    0.852878464818763    0.9515754
11730    0.852514919011083    0.9528742
11735    0.852151682999574    0.9541696
11740    0.851788756388416    0.9554583
11745    0.851426138782461    0.956739
11750    0.851063829787234    0.9580116
11755    0.850701829008932    0.9592757
11760    0.850340136054422    0.9605312
11765    0.849978750531237    0.9617782
11770    0.849617672047578    0.9630163
11775    0.849256900212314    0.9642451
11780    0.848896434634974    0.9654647
11785    0.848536274925753    0.9666744
11790    0.848176420695505    0.9678738
11795    0.847816871555744    0.9690627
11800    0.847457627118644    0.9702382
11805    0.847098686997035    0.9713959
11810    0.846740050804403    0.972531
11815    0.846381718154888    0.9736386
11820    0.846023688663283    0.9747138
11825    0.845665961945032    0.9757516
11830    0.84530853761623    0.9767463
11835    0.844951415293621    0.9776928
11840    0.844594594594595    0.9785854
11845    0.844238075137189    0.9794181
11850    0.843881856540084    0.9801848
11855    0.843525938422606    0.9808848
11860    0.843170320404722    0.9815256
11865    0.842815002107037    0.9821162
11870    0.8424599831508        0.982664
11875    0.842105263157895    0.9831777
11880    0.841750841750842    0.9836645
11885    0.841396718552798    0.984132
11890    0.841042893187553    0.9845882
11895    0.840689365279529    0.9850401
11900    0.840336134453782    0.9854957
11905    0.839983200335993    0.9859621
11910    0.839630562552477    0.9864447
11915    0.839278220730172    0.9869408
11920    0.838926174496644    0.9874454
11925    0.838574423480084    0.9879544
11930    0.838222967309304    0.9884632
11935    0.837871805613741    0.9889671
11940    0.837520938023451    0.9894618
11945    0.837170364169108    0.9899428
11950    0.836820083682008    0.990405
11955    0.836470096194061    0.9908442
11960    0.836120401337793    0.9912555
11965    0.835770998746344    0.9916342
11970    0.835421888053467    0.9919815
11975    0.835073068893528    0.9923022
11980    0.834724540901502    0.9926009
11985    0.834376303712975    0.992882
11990    0.834028356964137    0.9931503
11995    0.833680700291788    0.9934098
12000    0.833333333333333    0.9936653
12005    0.832986255726781    0.993921
12010    0.832639467110741    0.9941812
12015    0.832292967124428    0.9944503
12020    0.831946755407654    0.9947328
12025    0.831600831600832    0.9950309
12030    0.831255195344971    0.9953426
12035    0.830909846281678    0.9956645
12040    0.830564784053156    0.9959935
12045    0.8302200083022        0.9963262
12050    0.829875518672199    0.99666
12055    0.829531314807134    0.9969914
12060    0.829187396351575    0.9973174
12065    0.828843762950684    0.9976349
12070    0.828500414250207    0.9979408
12075    0.82815734989648    0.9982318
12080    0.827814569536424    0.9985046
12085    0.827472072817542    0.9987575
12090    0.827129859387924    0.9989898
12095    0.826787928896238    0.9992008
12100    0.826446280991735    0.9993895
12105    0.826104915324246    0.9995552
12110    0.825763831544178    0.9996967
12115    0.825423029302518    0.9998131
12120    0.825082508250825    0.9999031
12125    0.824742268041237    0.9999651
12130    0.824402308326463    0.999998
